from,to,value
Australia,Finland,1.875
Australia,France,2.6
Australia,Georgia,1.3
Australia,Germany,1.5
Australia,Greece,2.5833333333333335
Australia,Hungary,1.25
Australia,Iceland,3.6666666666666665
Australia,Ireland,3.1666666666666665
Australia,Israel,4.0
Australia,Italy,2.3
Australia,Latvia,3.3125
Australia,Lithuania,3.0833333333333335
Australia,Malta,3.25
Australia,Moldova,6.25
Australia,Montenegro,0.875
Australia,Netherlands,2.0
Australia,North Macedonia,3.1666666666666665
Australia,Norway,3.65
Australia,Poland,2.1
Australia,Portugal,2.375
Australia,Romania,1.8333333333333333
Australia,Russia,4.125
Australia,San Marino,0.9166666666666666
Australia,Serbia,2.6875
Australia,Slovenia,1.4
Australia,Spain,1.4
Australia,Sweden,8.0
Australia,Switzerland,1.3333333333333333
Australia,Ukraine,2.0833333333333335
Australia,United Kingdom,2.9
Austria,Albania,4.035714285714286
Austria,Andorra,0.0
Austria,Armenia,3.15625
Austria,Australia,4.2
Austria,Azerbaijan,3.0555555555555554
Austria,Belarus,0.975
Austria,Belgium,1.9230769230769231
Austria,Bulgaria,4.083333333333333
Austria,Croatia,5.5
Austria,Cyprus,0.6785714285714286
Austria,Czech Republic,3.375
Austria,Denmark,2.4615384615384617
Austria,Estonia,1.6071428571428572
Austria,Finland,0.5833333333333334
Austria,France,0.5666666666666667
Austria,Georgia,0.16666666666666666
Austria,Germany,4.266666666666667
Austria,Greece,1.3214285714285714
Austria,Hungary,3.175
Austria,Iceland,0.75
Austria,Ireland,2.2291666666666665
Austria,Israel,1.5
Austria,Italy,5.5
Austria,Latvia,2.3181818181818183
Austria,Lithuania,0.07692307692307693
Austria,Malta,2.0416666666666665
Austria,Moldova,1.7
Austria,Montenegro,0.0
Austria,Netherlands,3.173076923076923
Austria,North Macedonia,1.0208333333333333
Austria,Norway,1.4583333333333333
Austria,Poland,3.625
Austria,Portugal,2.0
Austria,Romania,3.5576923076923075
Austria,Russia,3.7115384615384617
Austria,San Marino,0.5
Austria,Serbia,7.090909090909091
Austria,Slovenia,1.6818181818181819
Austria,Spain,0.4
Austria,Sweden,3.85
Austria,Switzerland,2.8863636363636362
Austria,Türkiye,6.714285714285714
Austria,Ukraine,1.7727272727272727
Austria,United Kingdom,0.8333333333333334
Azerbaijan,Albania,2.659090909090909
Azerbaijan,Armenia,0.0
Azerbaijan,Australia,1.55
Azerbaijan,Austria,0.46875
Azerbaijan,Belarus,5.833333333333333
Azerbaijan,Belgium,0.8611111111111112
Azerbaijan,Bulgaria,4.4
Azerbaijan,Croatia,1.375
Azerbaijan,Cyprus,1.5
Azerbaijan,Czech Republic,1.35
Azerbaijan,Denmark,1.1
Azerbaijan,Estonia,1.575
Azerbaijan,Finland,0.3333333333333333
Azerbaijan,France,0.375
Azerbaijan,Georgia,8.214285714285714
Azerbaijan,Germany,0.2916666666666667
Azerbaijan,Greece,4.270833333333333
Azerbaijan,Hungary,3.5555555555555554
Azerbaijan,Iceland,0.5
Azerbaijan,Ireland,0.8888888888888888
Azerbaijan,Israel,4.275
Azerbaijan,Italy,2.2222222222222223
Azerbaijan,Latvia,2.2777777777777777
Azerbaijan,Lithuania,2.0277777777777777
Azerbaijan,Malta,5.28125
Azerbaijan,Moldova,4.386363636363637
Azerbaijan,Montenegro,3.0
Azerbaijan,Netherlands,1.0277777777777777
Azerbaijan,North Macedonia,2.5
Azerbaijan,Norway,2.3181818181818183
Azerbaijan,Poland,1.3571428571428572
Azerbaijan,Portugal,1.75
Azerbaijan,Romania,4.4
Azerbaijan,Russia,7.95
Azerbaijan,San Marino,3.5
Azerbaijan,Serbia,0.7777777777777778
Azerbaijan,Slovenia,1.1666666666666667
Azerbaijan,Spain,0.20833333333333334
Azerbaijan,Sweden,1.75
Azerbaijan,Switzerland,0.9375
Azerbaijan,Türkiye,12.0
Azerbaijan,Ukraine,9.55
Azerbaijan,United Kingdom,0.5833333333333334
Belarus,Albania,0.6041666666666666
Belarus,Andorra,0.8
Belarus,Armenia,5.7727272727272725
Belarus,Australia,4.2
Belarus,Austria,0.975
Belarus,Azerbaijan,5.375
Belarus,Belgium,1.6538461538461537
Belarus,Bulgaria,2.1
Belarus,Croatia,1.5227272727272727
Belarus,Cyprus,1.1785714285714286
Belarus,Czech Republic,1.625
Belarus,Denmark,1.046875
Belarus,Estonia,2.25
Belarus,Finland,1.3269230769230769
Belarus,France,0.5625
Belarus,Georgia,6.0
Belarus,Germany,0.5
Belarus,Greece,2.6666666666666665
Belarus,Hungary,1.375
Belarus,Iceland,1.7692307692307692
Belarus,Ireland,0.4375
Belarus,Israel,3.25
Belarus,Italy,1.2222222222222223
Belarus,Latvia,2.6666666666666665
Belarus,Lithuania,3.375
Belarus,Malta,2.730769230769231
Belarus,Moldova,5.454545454545454
Belarus,Monaco,0.0
Belarus,Montenegro,0.8333333333333334
Belarus,Netherlands,1.2115384615384615
Belarus,North Macedonia,1.0
Belarus,Norway,3.55
Belarus,Poland,3.3636363636363638
Belarus,Portugal,1.8636363636363635
Belarus,Romania,1.0576923076923077
Belarus,Russia,10.678571428571429
Belarus,San Marino,0.9166666666666666
Belarus,Serbia,2.6346153846153846
Belarus,Slovakia,1.0
Belarus,Slovenia,1.1875
Belarus,Spain,0.125
Belarus,Sweden,3.2666666666666666
Belarus,Switzerland,1.5416666666666667
Belarus,Türkiye,1.5
Belarus,Ukraine,8.964285714285714
Belarus,United Kingdom,0.375
Belgium,Albania,2.4285714285714284
Belgium,Andorra,0.0
Belgium,Armenia,6.613636363636363
Belgium,Australia,5.05
Belgium,Austria,2.767857142857143
Belgium,Azerbaijan,2.0208333333333335
Belgium,Belarus,0.07142857142857142
Belgium,Bulgaria,2.4375
Belgium,Croatia,0.038461538461538464
Belgium,Cyprus,1.71875
Belgium,Czech Republic,2.4583333333333335
Belgium,Denmark,2.638888888888889
Belgium,Estonia,1.1764705882352942
Belgium,Finland,1.5
Belgium,France,3.236842105263158
Belgium,Georgia,1.5833333333333333
Belgium,Germany,1.5526315789473684
Belgium,Greece,5.338235294117647
Belgium,Hungary,2.3636363636363638
Belgium,Iceland,1.875
Belgium,Ireland,2.4038461538461537
Belgium,Israel,1.8676470588235294
Belgium,Italy,4.722222222222222
Belgium,Latvia,2.6166666666666667
Belgium,Lithuania,1.0208333333333333
Belgium,Malta,1.4285714285714286
Belgium,Moldova,1.2692307692307692
Belgium,Monaco,0.0
Belgium,Montenegro,0.0
Belgium,Netherlands,8.6
Belgium,North Macedonia,0.0
Belgium,Norway,2.235294117647059
Belgium,Poland,2.4583333333333335
Belgium,Portugal,4.520833333333333
Belgium,Romania,2.6875
Belgium,Russia,3.0294117647058822
Belgium,San Marino,0.125
Belgium,Serbia,1.5625
Belgium,Slovenia,0.6166666666666667
Belgium,Spain,2.6578947368421053
Belgium,Sweden,4.180555555555555
Belgium,Switzerland,0.8076923076923077
Belgium,Türkiye,8.681818181818182
Belgium,Ukraine,1.7333333333333334
Belgium,United Kingdom,0.47368421052631576
Bulgaria,Albania,1.025
Bulgaria,Andorra,0.0
Bulgaria,Armenia,7.222222222222222
Bulgaria,Australia,2.6666666666666665
Bulgaria,Austria,4.083333333333333
Bulgaria,Azerbaijan,5.277777777777778
Bulgaria,Belarus,2.1041666666666665
Bulgaria,Belgium,2.25
Bulgaria,Croatia,1.625
Bulgaria,Cyprus,4.6
Bulgaria,Czech Republic,1.05
Bulgaria,Denmark,1.2083333333333333
Bulgaria,Estonia,0.6666666666666666
Bulgaria,Finland,1.0
Bulgaria,France,0.7083333333333334
Bulgaria,Georgia,2.5
Bulgaria,Germany,1.5
Bulgaria,Greece,8.909090909090908
Bulgaria,Hungary,2.2222222222222223
Bulgaria,Iceland,0.55
Bulgaria,Ireland,0.675
Bulgaria,Israel,2.477272727272727
Bulgaria,Italy,0.5
Bulgaria,Latvia,0.07142857142857142
Bulgaria,Lithuania,1.3125
Bulgaria,Malta,1.6111111111111112
Bulgaria,Moldova,2.15
Bulgaria,Netherlands,1.075
Bulgaria,North Macedonia,6.636363636363637
Bulgaria,Norway,1.0909090909090908
Bulgaria,Poland,1.0833333333333333
Bulgaria,Portugal,0.7777777777777778
Bulgaria,Romania,2.4
Bulgaria,Russia,4.7
Bulgaria,Serbia,4.0
Bulgaria,Slovenia,0.875
Bulgaria,Spain,0.5833333333333334
Bulgaria,Sweden,1.625
Bulgaria,Switzerland,0.5454545454545454
Bulgaria,Türkiye,7.5
Bulgaria,Ukraine,4.125
Bulgaria,United Kingdom,1.5833333333333333
Croatia,Albania,5.4772727272727275
Croatia,Andorra,0.5
Croatia,Armenia,0.3181818181818182
Croatia,Australia,2.875
Croatia,Austria,1.625
Croatia,Azerbaijan,4.025
Croatia,Belarus,0.5227272727272727
Croatia,Belgium,0.375
Croatia,Bulgaria,2.111111111111111
Croatia,Cyprus,2.171875
Croatia,Czech Republic,4.05
Croatia,Denmark,2.28125
Croatia,Estonia,1.25
Croatia,Finland,1.125
Croatia,France,1.4444444444444444
Croatia,Georgia,1.1428571428571428
Croatia,Germany,0.8611111111111112
Croatia,Greece,2.323529411764706
Croatia,Hungary,3.7
Croatia,Iceland,0.6875
Croatia,Ireland,1.7666666666666666
Croatia,Israel,0.9666666666666667
Croatia,Italy,4.571428571428571
Croatia,Latvia,1.375
Croatia,Lithuania,0.90625
Croatia,Malta,2.53125
Croatia,Moldova,1.25
Croatia,Monaco,0.0
Croatia,Montenegro,4.666666666666667
Croatia,Netherlands,1.25
Croatia,North Macedonia,7.295454545454546
Croatia,Norway,1.234375
Croatia,Poland,0.36363636363636365
Croatia,Portugal,1.3076923076923077
Croatia,Romania,1.1166666666666667
Croatia,Russia,3.9375
Croatia,San Marino,0.5
Croatia,Serbia,9.76923076923077
Croatia,Slovenia,6.785714285714286
Croatia,Spain,0.7222222222222222
Croatia,Sweden,1.8194444444444444
Croatia,Switzerland,1.8333333333333333
Croatia,Türkiye,2.769230769230769
Croatia,Ukraine,3.2857142857142856
Croatia,United Kingdom,0.7222222222222222
Cyprus,Albania,1.0625
Cyprus,Andorra,0.0
Cyprus,Armenia,5.675
Cyprus,Australia,3.25
Cyprus,Austria,0.9038461538461539
Cyprus,Azerbaijan,5.795454545454546
Cyprus,Belarus,2.5454545454545454
Cyprus,Belgium,1.46875
Cyprus,Bulgaria,8.722222222222221
Cyprus,Croatia,1.0892857142857142
Cyprus,Czech Republic,1.1071428571428572
Cyprus,Denmark,1.9666666666666666
Cyprus,Estonia,1.1833333333333333
Cyprus,Finland,1.1666666666666667
Cyprus,France,1.4166666666666667
Cyprus,Georgia,3.1666666666666665
Cyprus,Germany,0.3055555555555556
Cyprus,Greece,11.5
Cyprus,Hungary,1.5
Cyprus,Iceland,1.0441176470588236
Cyprus,Ireland,1.6153846153846154
Cyprus,Israel,1.9411764705882353
Cyprus,Italy,5.875
Cyprus,Latvia,1.0357142857142858
Cyprus,Lithuania,1.5892857142857142
Cyprus,Malta,2.517857142857143
Cyprus,Moldova,2.340909090909091
Cyprus,Monaco,1.3333333333333333
Cyprus,Montenegro,0.42857142857142855
Cyprus,Netherlands,1.2142857142857142
Cyprus,North Macedonia,0.45454545454545453
Cyprus,Norway,1.5666666666666667
Cyprus,Poland,0.8409090909090909
Cyprus,Portugal,0.9791666666666666
Cyprus,Romania,4.3
Cyprus,Russia,6.59375
Cyprus,San Marino,0.625
Cyprus,Serbia,4.096153846153846
Cyprus,Slovenia,0.6607142857142857
Cyprus,Spain,2.638888888888889
Cyprus,Sweden,3.4722222222222223
Cyprus,Switzerland,1.7307692307692308
Cyprus,Türkiye,1.0909090909090908
Cyprus,Ukraine,4.107142857142857
Cyprus,United Kingdom,1.25
Czech Republic,Albania,0.5714285714285714
Czech Republic,Armenia,7.107142857142857
Czech Republic,Australia,2.1
Czech Republic,Austria,1.7
Czech Republic,Azerbaijan,8.321428571428571
Czech Republic,Belarus,1.4583333333333333
Czech Republic,Belgium,2.392857142857143
Czech Republic,Bulgaria,4.083333333333333
Czech Republic,Croatia,0.9166666666666666
Czech Republic,Cyprus,1.4285714285714286
Czech Republic,Denmark,2.25
Czech Republic,Estonia,0.8333333333333334
Czech Republic,Finland,0.9285714285714286
Czech Republic,France,0.4375
Czech Republic,Georgia,1.8333333333333333
Czech Republic,Germany,0.1875
Czech Republic,Greece,1.15625
Czech Republic,Hungary,2.392857142857143
Czech Republic,Iceland,1.875
Czech Republic,Ireland,3.8333333333333335
Czech Republic,Israel,2.5
Czech Republic,Italy,2.7
Czech Republic,Latvia,2.5
Czech Republic,Lithuania,0.5
Czech Republic,Malta,3.125
Czech Republic,Moldova,1.8
Czech Republic,Montenegro,0.6666666666666666
Czech Republic,Netherlands,2.8
Czech Republic,North Macedonia,3.2
Czech Republic,Norway,1.6428571428571428
Czech Republic,Poland,2.4583333333333335
Czech Republic,Portugal,2.642857142857143
Czech Republic,Romania,0.6
Czech Republic,Russia,6.583333333333333
Czech Republic,San Marino,1.0
Czech Republic,Serbia,3.5833333333333335
Czech Republic,Slovenia,2.85
Czech Republic,Spain,0.0
Czech Republic,Sweden,4.59375
Czech Republic,Switzerland,0.9166666666666666
Czech Republic,Türkiye,1.1666666666666667
Czech Republic,Ukraine,7.083333333333333
Czech Republic,United Kingdom,1.3125
Denmark,Albania,1.2692307692307692
Denmark,Andorra,0.0
Denmark,Armenia,0.36363636363636365
Denmark,Australia,7.0
Denmark,Austria,2.125
Denmark,Azerbaijan,1.4318181818181819
Denmark,Belarus,0.3076923076923077
Denmark,Belgium,3.4642857142857144
Denmark,Bulgaria,1.8333333333333333
Denmark,Croatia,0.42857142857142855
Denmark,Cyprus,1.1470588235294117
Denmark,Czech Republic,0.6
Denmark,Estonia,3.09375
Denmark,Finland,3.4285714285714284
Denmark,France,1.4210526315789473
Denmark,Georgia,0.3125
Denmark,Germany,3.6315789473684212
Denmark,Greece,1.4375
Denmark,Hungary,1.9166666666666667
Denmark,Iceland,7.035714285714286
Denmark,Ireland,3.4
Denmark,Israel,0.9705882352941176
Denmark,Italy,1.1111111111111112
Denmark,Latvia,2.796875
Denmark,Lithuania,1.2058823529411764
Denmark,Malta,3.453125
Denmark,Moldova,1.3846153846153846
Denmark,Monaco,0.0
Denmark,Montenegro,0.8333333333333334
Denmark,Netherlands,4.640625
Denmark,North Macedonia,0.5961538461538461
Denmark,Norway,6.5
Denmark,Poland,0.8958333333333334
Denmark,Portugal,1.3181818181818181
Denmark,Romania,1.8823529411764706
Denmark,Russia,2.625
Denmark,San Marino,0.0
Denmark,Serbia,1.4464285714285714
Denmark,Slovenia,0.6166666666666667
Denmark,Spain,0.2631578947368421
Denmark,Sweden,10.56578947368421
Denmark,Switzerland,1.3214285714285714
Denmark,Türkiye,5.454545454545454
Denmark,Ukraine,2.4464285714285716
Denmark,United Kingdom,1.368421052631579
Estonia,Albania,0.10416666666666667
Estonia,Andorra,1.6
Estonia,Armenia,0.6136363636363636
Estonia,Australia,3.5
Estonia,Austria,2.1346153846153846
Estonia,Azerbaijan,2.3125
Estonia,Belarus,1.7692307692307692
Estonia,Belgium,2.9705882352941178
Estonia,Bulgaria,1.78125
Estonia,Croatia,0.36666666666666664
Estonia,Cyprus,1.8970588235294117
Estonia,Czech Republic,3.375
Estonia,Denmark,4.680555555555555
Estonia,Finland,6.671875
Estonia,France,1.375
Estonia,Georgia,3.5555555555555554
Estonia,Germany,1.8
Estonia,Greece,0.9736842105263158
Estonia,Hungary,3.6458333333333335
Estonia,Iceland,3.014705882352941
Estonia,Ireland,2.5833333333333335
Estonia,Israel,0.5735294117647058
Estonia,Italy,2.4444444444444446
Estonia,Latvia,7.366666666666666
Estonia,Lithuania,3.0714285714285716
Estonia,Malta,2.34375
Estonia,Moldova,0.75
Estonia,Monaco,0.6666666666666666
Estonia,Montenegro,0.0
Estonia,Netherlands,3.0555555555555554
Estonia,North Macedonia,0.15384615384615385
Estonia,Norway,4.75
Estonia,Poland,0.6428571428571429
Estonia,Portugal,1.1428571428571428
Estonia,Romania,0.875
Estonia,Russia,9.23611111111111
Estonia,San Marino,1.35
Estonia,Serbia,0.32142857142857145
Estonia,Slovakia,1.5
Estonia,Slovenia,0.75
Estonia,Spain,0.65
Estonia,Sweden,6.552631578947368
Estonia,Switzerland,2.1363636363636362
Estonia,Türkiye,0.5833333333333334
Estonia,Ukraine,4.4
Estonia,United Kingdom,1.175
Finland,Albania,0.9821428571428571
Finland,Andorra,0.8333333333333334
Finland,Armenia,1.0416666666666667
Finland,Australia,5.4
Finland,Austria,2.3541666666666665
Finland,Azerbaijan,1.0416666666666667
Finland,Belarus,0.75
Finland,Belgium,2.1875
Finland,Bulgaria,2.125
Finland,Croatia,0.8541666666666666
Finland,Cyprus,1.75
Finland,Czech Republic,1.75
Finland,Denmark,3.235294117647059
Finland,Estonia,8.34375
Finland,France,2.111111111111111
Finland,Georgia,1.0
Finland,Germany,0.9166666666666666
Finland,Greece,1.7205882352941178
Finland,Hungary,5.045454545454546
Finland,Iceland,5.65625
Finland,Ireland,2.375
Finland,Israel,3.514705882352941
Finland,Italy,2.5
Finland,Latvia,2.6153846153846154
Finland,Lithuania,1.0
Finland,Malta,1.7321428571428572
Finland,Moldova,0.8461538461538461
Finland,Monaco,0.0
Finland,Montenegro,0.16666666666666666
Finland,Netherlands,2.6923076923076925
Finland,North Macedonia,0.39285714285714285
Finland,Norway,4.875
Finland,Poland,0.9166666666666666
Finland,Portugal,1.5454545454545454
Finland,Romania,1.2
Finland,Russia,4.53125
Finland,San Marino,0.5
Finland,Serbia,2.8636363636363638
Finland,Slovenia,1.3541666666666667
Finland,Spain,0.4444444444444444
Finland,Sweden,8.455882352941176
Finland,Switzerland,2.6923076923076925
Finland,Türkiye,2.5
Finland,Ukraine,1.9285714285714286
Finland,United Kingdom,0.5
France,Albania,0.8846153846153846
France,Andorra,0.0
France,Armenia,8.375
France,Australia,3.8
France,Austria,2.5625
France,Azerbaijan,2.3863636363636362
France,Belarus,0.3958333333333333
France,Belgium,4.4
France,Bulgaria,3.7
France,Croatia,0.8653846153846154
France,Cyprus,0.8970588235294118
France,Czech Republic,1.15
France,Denmark,2.3676470588235294
France,Estonia,2.1666666666666665
France,Finland,0.7666666666666667
France,Georgia,0.5
France,Germany,2.25
France,Greece,2.138888888888889
France,Hungary,1.7884615384615385
France,Iceland,1.5625
France,Ireland,0.4642857142857143
France,Israel,6.779411764705882
France,Italy,6.166666666666667
France,Latvia,1.4375
France,Lithuania,0.35714285714285715
France,Malta,1.3611111111111112
France,Moldova,1.8076923076923077
France,Montenegro,0.5833333333333334
France,Netherlands,1.9411764705882353
France,North Macedonia,0.5357142857142857
France,Norway,1.088235294117647
France,Poland,3.1
France,Portugal,8.384615384615385
France,Romania,3.235294117647059
France,Russia,2.3815789473684212
France,San Marino,0.8333333333333334
France,Serbia,5.769230769230769
France,Slovakia,0.25
France,Slovenia,0.9038461538461539
France,Spain,3.85
France,Sweden,3.25
France,Switzerland,2.3636363636363638
France,Türkiye,10.666666666666666
France,Ukraine,1.15
France,United Kingdom,0.45
Georgia,Albania,0.7272727272727273
Georgia,Armenia,10.166666666666666
Georgia,Australia,1.55
Georgia,Austria,3.142857142857143
Georgia,Azerbaijan,9.3
Georgia,Belarus,6.15
Georgia,Belgium,3.642857142857143
Georgia,Bulgaria,2.125
Georgia,Croatia,0.7857142857142857
Georgia,Cyprus,2.1944444444444446
Georgia,Czech Republic,1.125
Georgia,Denmark,1.4166666666666667
Georgia,Estonia,2.857142857142857
Georgia,Finland,0.05555555555555555
Georgia,France,0.8333333333333334
Georgia,Germany,0.9166666666666666
Georgia,Greece,2.6
Georgia,Hungary,1.2727272727272727
Georgia,Iceland,0.5277777777777778
Georgia,Ireland,0.0
Georgia,Israel,2.55
Georgia,Italy,3.0555555555555554
Georgia,Latvia,4.5
Georgia,Lithuania,6.15
Georgia,Malta,2.0555555555555554
Georgia,Moldova,3.71875
Georgia,Montenegro,0.0
Georgia,Netherlands,1.4
Georgia,North Macedonia,0.5
Georgia,Norway,2.1666666666666665
Georgia,Poland,1.5833333333333333
Georgia,Portugal,2.3125
Georgia,Romania,1.25
Georgia,Russia,5.045454545454546
Georgia,San Marino,1.5
Georgia,Serbia,1.75
Georgia,Slovenia,0.825
Georgia,Spain,0.16666666666666666
Georgia,Sweden,3.2291666666666665
Georgia,Switzerland,0.9375
Georgia,Türkiye,4.0
Georgia,Ukraine,8.275
Georgia,United Kingdom,0.5416666666666666
Germany,Albania,1.5384615384615385
Germany,Andorra,0.0
Germany,Armenia,3.5454545454545454
Germany,Australia,5.9
Germany,Austria,2.8461538461538463
Germany,Azerbaijan,0.75
Germany,Belarus,0.07692307692307693
Germany,Belgium,2.3833333333333333
Germany,Bulgaria,2.25
Germany,Croatia,2.5714285714285716
Germany,Cyprus,1.3333333333333333
Germany,Czech Republic,1.3333333333333333
Germany,Denmark,3.861111111111111
Germany,Estonia,1.7777777777777777
Germany,Finland,2.269230769230769
Germany,France,1.0
Germany,Georgia,0.675
Germany,Greece,6.088235294117647
Germany,Hungary,2.55
Germany,Iceland,1.78125
Germany,Ireland,1.3055555555555556
Germany,Israel,2.236842105263158
Germany,Italy,3.0
Germany,Latvia,2.4375
Germany,Lithuania,0.46875
Germany,Malta,2.375
Germany,Moldova,0.8958333333333334
Germany,Monaco,0.0
Germany,Montenegro,0.3333333333333333
Germany,Netherlands,2.671875
Germany,North Macedonia,0.5833333333333334
Germany,Norway,2.861111111111111
Germany,Poland,5.884615384615385
Germany,Portugal,3.8846153846153846
Germany,Romania,1.7361111111111112
Germany,Russia,3.75
Germany,San Marino,0.07142857142857142
Germany,Serbia,4.583333333333333
Germany,Slovakia,0.0
Germany,Slovenia,1.05
Germany,Spain,0.65
Germany,Sweden,3.486842105263158
Germany,Switzerland,2.5
Germany,Türkiye,10.0
Germany,Ukraine,1.2
Germany,United Kingdom,1.075
Greece,Albania,9.410714285714286
Greece,Andorra,0.8
Greece,Armenia,6.625
Greece,Australia,3.35
Greece,Austria,1.8333333333333333
Greece,Azerbaijan,4.5
Greece,Belarus,2.659090909090909
Greece,Belgium,2.0
Greece,Bulgaria,5.428571428571429
Greece,Croatia,1.3461538461538463
Greece,Cyprus,11.803571428571429
Greece,Czech Republic,1.35
Greece,Denmark,0.9705882352941176
Greece,Estonia,1.5588235294117647
Greece,Finland,1.3235294117647058
Greece,France,2.263157894736842
Greece,Georgia,4.75
Greece,Germany,0.42105263157894735
Greece,Hungary,1.7291666666666667
Greece,Iceland,1.0441176470588236
Greece,Ireland,0.32142857142857145
Greece,Israel,1.1666666666666667
Greece,Italy,5.722222222222222
Greece,Latvia,1.0666666666666667
Greece,Lithuania,0.4642857142857143
Greece,Malta,1.9166666666666667
Greece,Moldova,3.1346153846153846
Greece,Monaco,0.0
Greece,Montenegro,1.125
Greece,Netherlands,0.9833333333333333
Greece,North Macedonia,0.3333333333333333
Greece,Norway,1.6176470588235294
Greece,Poland,1.9666666666666666
Greece,Portugal,0.6153846153846154
Greece,Romania,4.6
Greece,Russia,5.647058823529412
Greece,San Marino,2.0357142857142856
Greece,Serbia,3.9166666666666665
Greece,Slovenia,0.3
Greece,Spain,1.6842105263157894
Greece,Sweden,1.3888888888888888
Greece,Switzerland,1.5
Greece,Türkiye,2.4583333333333335
Greece,Ukraine,3.4
Greece,United Kingdom,1.131578947368421
Hungary,Albania,1.6818181818181819
Hungary,Armenia,1.3333333333333333
Hungary,Australia,5.3
