,from_country,year
31147,Cyprus,2011
31172,Denmark,2011
31197,Estonia,2011
31222,Finland,2011
31247,France,2011
31272,Georgia,2011
31297,Germany,2011
31322,Greece,2011
31347,Hungary,2011
31372,Iceland,2011
31397,Ireland,2011
31422,Israel,2011
31447,Italy,2011
31472,Latvia,2011
31497,Lithuania,2011
31522,Malta,2011
31547,Moldova,2011
31572,Netherlands,2011
31597,North Macedonia,2011
31622,Norway,2011
31647,Poland,2011
31672,Portugal,2011
31697,Romania,2011
31722,Russia,2011
31747,San Marino,2011
31772,Serbia,2011
31797,Slovakia,2011
31822,Slovenia,2011
31847,Spain,2011
31872,Sweden,2011
31897,Switzerland,2011
31922,Türkiye,2011
31947,Ukraine,2011
31972,United Kingdom,2011
32814,Albania,2012
32840,Austria,2012
32866,Azerbaijan,2012
32892,Belarus,2012
32918,Belgium,2012
32944,Bosnia and Herz.,2012
32970,Bulgaria,2012
32996,Croatia,2012
33022,Cyprus,2012
33048,Denmark,2012
33074,Estonia,2012
33100,Finland,2012
33126,France,2012
33152,Georgia,2012
33178,Germany,2012
33204,Greece,2012
33230,Hungary,2012
33256,Iceland,2012
33282,Ireland,2012
33308,Israel,2012
33334,Italy,2012
33360,Latvia,2012
33386,Lithuania,2012
33412,Malta,2012
33438,Moldova,2012
33464,Montenegro,2012
33490,Netherlands,2012
33516,North Macedonia,2012
33542,Norway,2012
33568,Portugal,2012
33594,Romania,2012
33620,Russia,2012
33646,San Marino,2012
33672,Serbia,2012
33698,Slovakia,2012
33724,Slovenia,2012
33750,Spain,2012
33777,Sweden,2012
33802,Switzerland,2012
33828,Türkiye,2012
33854,Ukraine,2012
33880,United Kingdom,2012
34662,Albania,2013
34688,Armenia,2013
34714,Austria,2013
34740,Azerbaijan,2013
34766,Belarus,2013
34792,Belgium,2013
34818,Bulgaria,2013
34844,Croatia,2013
34870,Cyprus,2013
34897,Denmark,2013
34922,Estonia,2013
34948,Finland,2013
34974,France,2013
35000,Georgia,2013
35026,Germany,2013
35052,Greece,2013
35078,Hungary,2013
35104,Iceland,2013
35130,Ireland,2013
35156,Israel,2013
35182,Italy,2013
35208,Latvia,2013
35234,Lithuania,2013
35260,Malta,2013
35286,Moldova,2013
35312,Montenegro,2013
35338,Netherlands,2013
35364,North Macedonia,2013
35390,Norway,2013
35416,Romania,2013
35442,Russia,2013
35468,San Marino,2013
35494,Serbia,2013
35520,Slovenia,2013
35546,Spain,2013
35572,Sweden,2013
35598,Switzerland,2013
35624,Ukraine,2013
35650,United Kingdom,2013
36320,Albania,2014
36346,Armenia,2014
36373,Austria,2014
36398,Azerbaijan,2014
36424,Belarus,2014
36450,Belgium,2014
36476,Denmark,2014
36502,Estonia,2014
36528,Finland,2014
36554,France,2014
36580,Georgia,2014
36606,Germany,2014
36632,Greece,2014
36658,Hungary,2014
36684,Iceland,2014
36710,Ireland,2014
36736,Israel,2014
36762,Italy,2014
36788,Latvia,2014
36814,Lithuania,2014
36840,Malta,2014
36866,Moldova,2014
36892,Montenegro,2014
36918,Netherlands,2014
36944,North Macedonia,2014
36970,Norway,2014
36996,Poland,2014
37022,Portugal,2014
37048,Romania,2014
37074,Russia,2014
37100,San Marino,2014
37126,Slovenia,2014
37152,Spain,2014
37178,Sweden,2014
37204,Switzerland,2014
37230,Ukraine,2014
37256,United Kingdom,2014
37856,Albania,2015
37883,Armenia,2015
37910,Australia,2015
37937,Austria,2015
37964,Azerbaijan,2015
37991,Belarus,2015
38018,Belgium,2015
38045,Cyprus,2015
38072,Czech Republic,2015
38099,Denmark,2015
38126,Estonia,2015
38153,Finland,2015
38180,France,2015
38207,Georgia,2015
38234,Germany,2015
38261,Greece,2015
38288,Hungary,2015
38315,Iceland,2015
38342,Ireland,2015
38369,Israel,2015
38396,Italy,2015
38423,Latvia,2015
38450,Lithuania,2015
38477,Malta,2015
38504,Moldova,2015
38531,Montenegro,2015
38558,Netherlands,2015
38585,North Macedonia,2015
38612,Norway,2015
38639,Poland,2015
38666,Portugal,2015
38693,Romania,2015
38720,Russia,2015
38747,San Marino,2015
38774,Serbia,2015
38801,Slovenia,2015
38828,Spain,2015
38856,Sweden,2015
38882,Switzerland,2015
38909,United Kingdom,2015
39613,Albania,2016
39639,Armenia,2016
39665,Australia,2016
39691,Austria,2016
39717,Azerbaijan,2016
39743,Belarus,2016
39769,Belgium,2016
39795,Bosnia and Herz.,2016
39821,Bulgaria,2016
39847,Croatia,2016
39873,Cyprus,2016
39899,Czech Republic,2016
39925,Denmark,2016
39951,Estonia,2016
39977,Finland,2016
40003,France,2016
40029,Georgia,2016
40055,Germany,2016
40081,Greece,2016
40107,Hungary,2016
40133,Iceland,2016
40159,Ireland,2016
40185,Israel,2016
40211,Italy,2016
40237,Latvia,2016
40263,Lithuania,2016
40289,Malta,2016
40315,Moldova,2016
40341,Montenegro,2016
40367,Netherlands,2016
40393,North Macedonia,2016
40419,Norway,2016
40445,Poland,2016
40471,Russia,2016
40497,San Marino,2016
40523,Serbia,2016
40549,Slovenia,2016
40575,Spain,2016
40601,Sweden,2016
40627,Switzerland,2016
40654,Ukraine,2016
40679,United Kingdom,2016
41461,Albania,2017
41487,Armenia,2017
41513,Australia,2017
41539,Austria,2017
41565,Azerbaijan,2017
41591,Belarus,2017
41617,Belgium,2017
41643,Bulgaria,2017
41669,Croatia,2017
41695,Cyprus,2017
41721,Czech Republic,2017
41747,Denmark,2017
41773,Estonia,2017
41799,Finland,2017
41825,France,2017
41851,Georgia,2017
41877,Germany,2017
41903,Greece,2017
41929,Hungary,2017
41955,Iceland,2017
41981,Ireland,2017
42007,Israel,2017
42033,Italy,2017
42059,Latvia,2017
42085,Lithuania,2017
42111,Malta,2017
42137,Moldova,2017
42163,Montenegro,2017
42189,Netherlands,2017
42215,North Macedonia,2017
42241,Norway,2017
42267,Poland,2017
42294,Portugal,2017
42319,Romania,2017
42345,San Marino,2017
42371,Serbia,2017
42397,Slovenia,2017
42423,Spain,2017
42449,Sweden,2017
42475,Switzerland,2017
42501,Ukraine,2017
42527,United Kingdom,2017
43309,Albania,2018
43335,Armenia,2018
43361,Australia,2018
43387,Austria,2018
43413,Azerbaijan,2018
43439,Belarus,2018
43465,Belgium,2018
43491,Bulgaria,2018
43517,Croatia,2018
43543,Cyprus,2018
43569,Czech Republic,2018
43595,Denmark,2018
43621,Estonia,2018
43647,Finland,2018
43673,France,2018
43699,Georgia,2018
43725,Germany,2018
43751,Greece,2018
43777,Hungary,2018
43803,Iceland,2018
43829,Ireland,2018
43856,Israel,2018
43881,Italy,2018
43907,Latvia,2018
43933,Lithuania,2018
43959,Malta,2018
43985,Moldova,2018
44011,Montenegro,2018
44037,Netherlands,2018
44063,North Macedonia,2018
44089,Norway,2018
44115,Poland,2018
44141,Portugal,2018
44167,Romania,2018
44193,Russia,2018
44219,San Marino,2018
44245,Serbia,2018
44271,Slovenia,2018
44297,Spain,2018
44323,Sweden,2018
44349,Switzerland,2018
44375,Ukraine,2018
44401,United Kingdom,2018
45223,Albania,2019
45249,Armenia,2019
45275,Australia,2019
45301,Austria,2019
45327,Azerbaijan,2019
45353,Belarus,2019
45379,Belgium,2019
45405,Croatia,2019
45431,Cyprus,2019
45457,Czech Republic,2019
45483,Denmark,2019
45509,Estonia,2019
45535,Finland,2019
45561,France,2019
45587,Georgia,2019
45613,Germany,2019
45639,Greece,2019
45665,Hungary,2019
45691,Iceland,2019
45717,Ireland,2019
45743,Israel,2019
45769,Italy,2019
45795,Latvia,2019
45821,Lithuania,2019
45847,Malta,2019
45873,Moldova,2019
45899,Montenegro,2019
45926,Netherlands,2019
45951,North Macedonia,2019
45977,Norway,2019
46003,Poland,2019
46029,Portugal,2019
46055,Romania,2019
46081,Russia,2019
46107,San Marino,2019
46133,Serbia,2019
46159,Slovenia,2019
46185,Spain,2019
46211,Sweden,2019
46237,Switzerland,2019
46263,United Kingdom,2019
